(services),"(price, what the client pays in mxn)",(lab test instructions),
Descripción,Importe,Indicaciones,
ANALISIS CLINICO FEMENINO,0.00,,
ANALISIS CLINICO MASCULINO,0.00,,
"ANTIDOPING I (MARIHUANA, COCAÍNA, ANFETAMINAS, METANFETAMINAS Y OPIÁCEOS)  ",335.34,RECOLECTAR MUESTRA DE ORINA EN EL LABORATORIO,
"BIOMETRIA HEMTICA , QUIMICA SANGUINEA 6",0.00,AYUNO DE 8 HRS MAXIMO 12,
"CHECK UP BÁSICO (QS6, BH, EGO)",387.00,"1. AYUNO MÍNIMO DE 8 MÁXIMO DE 12 HORAS.\n2. EVITAR LA NOCHE ANTERIOR LA INGESTA DE ALIMENTOS RICOS EN GRASA.\n3. EVITAR REALIZAR EJERCICIO FÍSICO.\n4. NO INGERIR ALCOHOL, TÉ, CAFEÍNA O TABACO 24 HORAS PREVIAS A LA EXTRACCIÓN DE LA MUESTRA.\n5. EVITAR EL USO DE LAXANTES, ANTIÁCIDOS O INFUSIONES QUE CONTENGAN FOSFATO.\n6. RECOLECTAR A CHORRO MEDIO LA PRIMERA ORINA DE LA MAÑANA EN UN FRASCO ESTÉRIL. \n7. EN CASO DE SER MUJER QUE NO SE ENCUENTRE EN SU PERÍODO O AL TERMINO DEL MISMO ESPERAR DE 3 A 5 DÍAS PARA RECOLECTAR LA MUESTRA.\n8. ABSTINENCIA SEXUAL DE 3 DÍAS.\n9. LA MUESTRA DE ORINA DEBE SER REMITIDA DENTRO DE LAS DOS PRIMERAS HORAS POSTERIORES A LA RECOLECCIÓN",
"CHECK UP COMPLETO (QS38, BH, EGO)",671.00,"1. AYUNO MÍNIMO DE 8 MÁXIMO DE 12 HORAS.\n2. EVITAR LA NOCHE ANTERIOR LA INGESTA DE ALIMENTOS RICOS EN GRASA.\n3. EVITAR REALIZAR EJERCICIO FÍSICO.\n4. NO INGERIR ALCOHOL, TÉ, CAFEÍNA O TABACO 24 HORAS PREVIAS A LA EXTRACCIÓN DE LA MUESTRA.\n5. EVITAR EL USO DE LAXANTES, ANTIÁCIDOS O INFUSIONES QUE CONTENGAN FOSFATO.\n6. RECOLECTAR A CHORRO MEDIO LA PRIMERA ORINA DE LA MAÑANA EN UN FRASCO ESTÉRIL. \n7. EN CASO DE SER MUJER QUE NO SE ENCUENTRE EN SU PERÍODO O AL TERMINO DEL MISMO ESPERAR DE 3 A 5 DÍAS PARA RECOLECTAR LA MUESTRA.\n8. ABSTINENCIA SEXUAL DE 3 DÍAS.\n9. LA MUESTRA DE ORINA DEBE SER REMITIDA DENTRO DE LAS DOS PRIMERAS HORAS POSTERIORES A LA RECOLECCIÓN",
"CHECK UP FEMENINO (PERFIL HORMONAL FEMENINO 1, BH,  EGO)",680.00,1. AYUNO MÍNIMO DE 8 HRS.\n2. RECOLECTAR A CHORRO MEDIO LA PRIMERA ORINA DE LA MAÑANA EN UN FRASCO ESTÉRIL. \n3. EN CASO DE SER MUJER QUE NO SE ENCUENTRE EN SU PERÍODO O AL TERMINO DEL MISMO ESPERAR DE 3 A 5 DÍAS PARA RECOLECTAR LA MUESTRA.\n4. LA MUESTRA DE ORINA DEBE SER REMITIDA DENTRO DE LAS DOS PRIMERAS HORAS POSTERIORES A LA RECOLECCIÓN,
"CHECK UP FEMENINO COMPLETO (QS12, PERFIL HORMONAL FEMENINO 1, BH, EGO)","1,517.00",1. AYUNO DE 8 A 12 HORAS. \n2. RECOLECTAR LA PRIMERA ORINA DE LA MAÑANA Y ENTREGARLA EN EL LABORATORIO ANTES DE QUE CUMPLA DOS HORAS,
"CHECK UP INFANTIL (GRUPO SANGUÍNEO, CULTIVO FARÍNGEO, COPROPARASITÓSCOPICO 3)",0.00,"AYUNO DE 8 HORAS, SIN TOMAR ANTIBIÓTICO 7 DÍAS ANTES, SIN ASEO BUCAL.\nRECOLECTAR EN UN FRASCO ESTÉRIL UNA MUESTRA DE MATERIA FECAL RECIENTE DEL TAMAÑO DE UNA NUEZ. UNA POR DÍA HASTA COMPLETAR LAS 3 MUESTRAS. RECOLECTAR CADA UNA EN UN ENVASE INDIVIDUAL",
